"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000129173";3948;14,0342910051623;1;0
"ENSG00000089685";1230;14,0028455221358;1;0
"ENSG00000124440";5750;-13,9998955524342;1;0
"ENSG00000168824";3423;-13,981282343302;1;0
"ENSG00000075702";13710;13,9460853134697;1;0
"ENSG00000076382";11815;13,9307643912079;1;0
"ENSG00000148773";7638;13,9223372330395;1;0
"ENSG00000003096";6720;-13,908367712707;1;0
"ENSG00000119147";1807;-13,8986928268624;1;0
"ENSG00000104332";11140;-13,8724426755978;1;0
"ENSG00000093009";2541;13,827165708517;1;0
"ENSG00000161649";2466;-13,8234819659284;1;0
"ENSG00000081041";3337;-13,8182903331032;1;0
"ENSG00000168874";947;-13,8123059758462;1;0
"ENSG00000105974";2205;-13,8058714253932;1;0
"ENSG00000122952";14561;13,7945199326944;1;0
"ENSG00000129810";11189;13,7913864837093;1;0
"ENSG00000035499";3583;13,7695933836065;1;0
"ENSG00000123243";6337;-13,7534147413562;1;0
"ENSG00000162849";6665;13,734488669052;1;0
"ENSG00000138778";2653;13,7110898011262;1;0
"ENSG00000101447";4621;13,705788442299;1;0
"ENSG00000103044";5639;-13,6931773995385;1;0
"ENSG00000137727";737;-13,6239362859551;1;0
"ENSG00000051180";10132;13,6017843651017;1;0
"ENSG00000157404";6687;-13,5980247041637;1;0
"ENSG00000065534";8011;-13,5889517680684;1;0
"ENSG00000164283";4297;13,5592425383527;1;0
"ENSG00000146670";2549;13,520323910513;1;0
"ENSG00000162062";1533;13,5200919393085;1;0
"ENSG00000196550";4607;13,504284132208;1;0
"ENSG00000121594";2499;13,5009790694786;1;0
"ENSG00000183682";1251;13,4866928293056;1;0
"ENSG00000187824";12734;-13,4373649595462;1;0
"ENSG00000189057";4426;13,423520682917;1;0
"ENSG00000106004";5875;-13,4207487189259;1;0
"ENSG00000079462";8796;13,4025713765419;1;0
"ENSG00000175305";2395;13,379506731084;1;0
"ENSG00000163993";10823;13,3607872199441;1;0
"ENSG00000171320";4294;13,3583299246402;1;0
"ENSG00000258227";2882;13,3514821660958;1;0
"ENSG00000153291";11412;-13,3514742005242;1;0
"ENSG00000138640";4470;-13,3236945750676;1;0
"ENSG00000105971";2206;-13,3128382548113;1;0
